,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,bollywood_life,"Know what's trending in Bollywood. Catch up with the latest celebrity news, gossips, movie reviews and much more| Zee Media",Mumbai,731,767424,161424,0,"Johnny Depp vs Amber Heard case: Salman Khan's costar comes out in strong support of Aquaman actress; gives it back to trolls 
 #AmberHeard #Aquaman #EntertainmentNews #JohnnyDepp #PiratesOfTheCaribbean 
 https://t.co/f3o1dO0P7l","['AmberHeard', 'Aquaman', 'EntertainmentNews', 'JohnnyDepp', 'PiratesOfTheCaribbean']"
1,Madame9Roux,"You are a blip on the radar screen here. 🔥🔥🔥 I block addicts and morons. Psychic attacks returned wrapped in killer Shawnee spell. Don't mess with 30,000 yrs",,561,240,13907,1,"My oped on @EMPIREREPORTNY The “Mutinous Women” Book, Stories Similar 2 Women’s Stories 2day - #AmberHeard #JohnnyDepp #AndrewCuomo #RoeVWade Author, Joan DeJean
@Biaggi4NY @CarlinaRivera @yuhline @JuliaCarmel__ @rontkim @jessicaramos @RepKathleenRice 
https://t.co/EnJBHRi3po… https://t.co/gL8F80qlI5","['AmberHeard', 'JohnnyDepp']"
2,JamesMa63034226,,,159,105,9852,1,"Congratulations #CamilleVasquez! The attorney is considered the breakout star of the #JohnnyDepp Defamation Trial and was just promoted to partner. 

Her cross-examination of #AmberHeard was a major turning point in this trial.

WATCH #CourtTV LIVE - https://t.co/tnYdPcDRMU https://t.co/KpAPgbGhJL","['CamilleVasquez', 'JohnnyDepp']"
3,bmurphy63,"Grew up in Pittsburgh and moved to Atlanta. Fan of the Steelers, Penguins, Pirates, Pitt, & McEachern HS. Fur dad to Willow & Kit!","Marietta, GA. USA",5001,3976,39791,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
4,CourtTV,"Your front row seat to justice.

HOW TO WATCH: https://t.co/TU1NxK0Ui6","Atlanta, GA",48,63054,9121,1,"Congratulations #CamilleVasquez! The attorney is considered the breakout star of the #JohnnyDepp Defamation Trial and was just promoted to partner. 

Her cross-examination of #AmberHeard was a major turning point in this trial.

WATCH #CourtTV LIVE - https://t.co/tnYdPcDRMU https://t.co/KpAPgbGhJL","['CamilleVasquez', 'JohnnyDepp', 'AmberHeard', 'CourtTV']"
5,evamalya,"❤️Love #Shinee #Ateez #MonstaX #ØMI #OneOkRock 
🎥Cinéphile
💜💙#SamYu #EarthMixx🌏🪐#ZeeNunew #OhmNanon #WeiChun #MaxTul #MaxNat #Malec #Malex 
💗 Asian Music",France,356,104,44865,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
6,twofortysevenam,,,14,2,35,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
7,optimieren1,#AbuseHasNoGender,nowhere nearby Amber Turd,35,7,1673,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
8,Klaybabies,"Public defender fighting the good fight.Outside of work my passion is horses, sailing, and my son.",,1336,233,7033,0,"@ChristinaPykles I suspect the source who told ET was #AmberHeard. She likes to be the center of attention and has a history of doing it. Notice how she clings to Aquaman, the same as she did to #JohnnyDepp.","['AmberHeard', 'JohnnyDepp']"
9,imharjinderinsa,I'm biggest fan of Dr msg & l m pure Desi raa bau 😀😀😊😊,Guruharsahai Punjab (152022),691,1115,309717,1,"After Winning Defamation Case and $15 Millions against Ex-Wife Amber Heard, Johnny Depp Celebrated it in an Indian Restaurant of UK with His Kids and Friends
.
.
.
.
#johnnyamber #johnnydepp #amberheard #johnnydeppisinnocent #amberjohnny #johnnydeppenjoying #johnnydepplive https://t.co/IPd55wR4mw",[]
10,tararenee68,Bi-Coastal Celebrity Chef in Film TV & Music Industry. Civil Rights Activist. Food Network Chopped Finalist. Flight Attendant!,LA.NYC,300,347,12058,0,He's glowing now. Being in the same court room with a narcissist drains your energy #AmberHeard is an energy vampire. #JohnnyDepp https://t.co/4cww4aDIsi,"['AmberHeard', 'JohnnyDepp']"
11,QuinnMarcellus1,do you know who you are? 🦋 I need u,,8,0,24,0,#DeppVsHeard Verdict - REACTION &amp;amp; BREAKDOWNJury's findings explained!What's next for both #JohnnyDepp &amp;amp; #AmberHeard…,"['DeppVsHeard', 'JohnnyDepp', 'AmberHeard']"
12,margotroebbie,"the answer, my friend, is blowin' in the wind #istandwithamberheard",,4077,4473,82114,42,"""I smacked the location manager [on the set of a new, stalled project, City of Lies, a film about the murder of Biggie Smalls] and he called the cops on me.""

Interview with GQ UK Edition, November 2018

#JohnnyDeppAmberHeardTrial #JohnnyDepp #JusticeForRockyBrooks
#AmberHeard",[]
13,lobotechx,A debate is a formal discussion about a topic where two sides present opposing viewpoints. Don't come at me with your feelings opinions.,,44,17,4328,0,@xxPhoenixRising @mindi_1111 @HannahJ4justice @King1Zebra @MandaJJ027 @ShowUsYourData @thepushback1 @RAlmudevar @imani2114 @JohnE20796521 @DrProudman Geoffrey Ronald Robertson's ex-wife and mother of his children is Kathy Lette. Kathy Lette is also a close friend of Jennifer Robinson (#AmberHeard lawyer in UK)  3/10 https://t.co/iThCrZljZk,['AmberHeard']
14,trundletruck41,,,36,30,3532,17,"GOTCHA! Did TMZ CONFIRM Amber Heard is the LEAK in Old Video!? Lands Her In The TURD! 

https://t.co/ERbfMttQKp 

#DeppVHeardTrial #AmberHeard #JohnnyDepp #JohnnyDeppVsAmberHeard #justiceforjohnnydepp #amberturd #johnnydeppisinnocent #dailynerd https://t.co/ABraxmw4zm",[]
15,WebSabrek,,kuwait,112,87,3111,219,#AmberHeard wore black for her own funeral #JusticeForJohhnyDepp #verdictwatch https://t.co/tRVCH9Yizb,"['AmberHeard', 'JusticeForJohhnyDepp', 'verdictwatch']"
16,Sfortunata676,,,922,390,21299,1,"🚨Morning Coffee w Gerry | weekdays 10am CST🚨
The show that lasts as long as my coffee. 
Amber Heard out, Aquaman 2?! Neve Campbell out, Scream 6?!  Let's talk about it over some coffee.
▶️ https://t.co/9hEcF6p32U
#AmberHeard #AmberTurd #Aquaman #DC #ATT #NeveCampbell #SCREAM https://t.co/n6Yd27n0iA",[]
17,trundletruck41,,,36,30,3532,6,"RECEIPTS! Eve Barlow EXPOSED! Amber Heard's Girlfriend Was THIRSTY for Johnny Depp!

https://t.co/ZNxRWj5GBA 

p.s. stay tuned for tomorrow’s video for even MORE RECEIPTS!!

#EveFartlow #EveBarlowIsAJoke #JohnnyDepp #JOHNNYDEPPWINS #AmberHeard #JohnnyDeppGotJustice #dailynerd https://t.co/bMVWSn79MN",[]
18,lobotechx,A debate is a formal discussion about a topic where two sides present opposing viewpoints. Don't come at me with your feelings opinions.,,44,17,4328,0,"@xxPhoenixRising @mindi_1111 @HannahJ4justice @King1Zebra @MandaJJ027 @ShowUsYourData @thepushback1 @RAlmudevar @imani2114 @JohnE20796521 @DrProudman Let's start with all the connections to the judge (Andrew Nicol) of the case. Starting with Jennifer Robinson, who was #AmberHeard lawyer. Her mentor and boss, was Geoffrey Ronald Robertson. 1/10 https://t.co/6Qc4L0Ty3b",['AmberHeard']
19,WebSabrek,,kuwait,112,87,3111,5,"what do you think?

RT for #JohnnyDepp 
Like for #AmberHeard 
#jonnydeppvsamberheard https://t.co/4UVc4Q6an8","['JohnnyDepp', 'AmberHeard', 'jonnydeppvsamberheard']"
20,5rt67,"#1DDrive ↨ #StrongerTogether #UKRAINE #PEACE 
Group Accts:  @5RT678 ♥ @_Thirunarayan1 ♥ @_Rudra2",🌎-I FOLLOW IN 24 ⌛️hrs /LESS,1196,1160,7421,2,"Deleting #AmberHeard's scenes in 'Aquaman and the Lost Kingdom': Is this the right decision?
https://t.co/YQSAohBToS",['AmberHeard']
21,trundletruck41,,,36,30,3532,10,"Shall I expose MORE RECEIPTS showing Eve Barlow (in my opinion) being THIRSTY for Johnny Depp for career CLOUT!? Stay tuned, today's Daily Nerd is NEARLY HERE!!

https://t.co/Axm61w9TMs

#johnnydepp #amberheard #JohnnyDeppGotJustice #JOHNNYDEPPWINS #JohnnyDeppVsAmberHeardTrial",[]
22,trundletruck41,,,36,30,3532,11,"MORE RECEIPTS EXPOSED! Eve Barlow THIRSTY for Johnny Depp Using Him for CLOUT!? Uh Oh Amber Heard! 

https://t.co/9aF9SHfrN3 

#dailynerd #johnnydepp #amberheard #JohnnyDeppGotJustice #JohnnyDeppVsAmberHeardTrial #JohnnyDeppIsInnocent #EveBarlowIsAJoke https://t.co/Cm4qYoLYSv",[]
23,HNzekwue,#Geriatrician this way comes | Writer and reader on #Okadabooks #FanFiction.net #Goodreads | Father of none. Yet | Illustrator | #PrequelMeme lover,,22,18,363,1305,"Look you can say you don’t give a shit about the #JohnnyDepp and #AmberHeard trial but since it ended I’ve had two dv hotline calls TODAY, both male. That’s more than I’ve gotten in the last YEAR if not two. That’s why it’s important.","['JohnnyDepp', 'AmberHeard']"
24,SatoshiSteven,"I do stock and option risk management for high frequency traders

I convert my fiat into crypto","Portland, OR",32,70,1804,0,"@connectamitb @bennyjohnson I bet all that simping has you absolutely drowning in pussy

#JohnnyDeppGotJustice #JohnnyDeppvAmberHeard #JohnnyDeppIsInnocent #AmberIsALiar #amberheard #JohnnyDepp #JOHNNY #blm #BlackLivesMatter #AmberTurdIsAnAbuser #KyleRittenhouse","['JohnnyDeppGotJustice', 'JohnnyDeppvAmberHeard', 'JohnnyDeppIsInnocent', 'AmberIsALiar', 'amberheard', 'JohnnyDepp', 'JOHNNY', 'blm', 'BlackLivesMatter', 'AmberTurdIsAnAbuser', 'KyleRittenhouse']"
25,2Eparent,"Out of sync, into my mind. The Internet provides wonderful research opportunities!","Trondheim, Norway",96,85,7425,108,"None of you Turd stans can logically explain away the audio that incriminates her. #AmberHeard’s attempt was pure nonsense. 

If you believe Amber Heard then you are stupid or in denial.",['AmberHeard']
26,LORAC311,"just a makeup lover and New England Patriots fanatic.

Instagram: @beauty_bomb311","Oregon, USA",718,72,1575,0,#AmberHeard currently.... https://t.co/71JXrpP7eC https://t.co/WcieI2R20I,['AmberHeard']
27,resilientheard,fan account • she/her • was @truthheards • believe women. #JohnnyDeppIsAnAbuser -not actually Amber Heard.,"New York, USA",1307,3393,64518,42,"""I smacked the location manager [on the set of a new, stalled project, City of Lies, a film about the murder of Biggie Smalls] and he called the cops on me.""

Interview with GQ UK Edition, November 2018

#JohnnyDeppAmberHeardTrial #JohnnyDepp #JusticeForRockyBrooks
#AmberHeard",[]
28,Swaoop2,Yogi,,366,259,15187,14,"@MyNation_PM @DrProudman @AnsuMynation @DrProudman , unfortunately, the world we now live in is full of  #AmberHeard !

Great Respect for all respectable #women ! https://t.co/OB0Cliirpk",['AmberHeard']
